reaction,reaction_normalized,custom_group,custom_group_label,mapping_basis
Regressive behaviour,Regressive behaviour,psychiatric,Psychiatric and behavioural,rule
Solar urticaria,Solar urticaria,dermatological,Skin and subcutaneous tissue,rule
Cardiospasm,Cardiospasm,other,Other / manual review,fallback
Uterine abscess,Uterine abscess,reproductive,Reproductive and breast,rule
Astrocytoma,Astrocytoma,other,Other / manual review,fallback
Pantoea agglomerans infection,Pantoea agglomerans infection,infection,Infections,rule
Choriocarcinoma,Choriocarcinoma,neoplasm,Neoplasms,rule
Colorectal cancer recurrent,Colorectal cancer recurrent,neoplasm,Neoplasms,rule
Norepinephrine increased,Norepinephrine increased,laboratory,Laboratory and investigation,rule
Autoinflammatory disease,Autoinflammatory disease,immune_inflammatory,Immune and inflammatory,rule
Gastric banding,Gastric banding,gastrointestinal,Gastrointestinal,rule
Varicose vein operation,Varicose vein operation,procedure,Procedures and interventions,rule
Dysprosody,Dysprosody,other,Other / manual review,fallback
Pancreatic duct stenosis,Pancreatic duct stenosis,gastrointestinal,Gastrointestinal,rule
Foetal exposure timing unspecified,Foetal exposure timing unspecified,pregnancy,Pregnancy and perinatal,rule
Diagnostic aspiration,Diagnostic aspiration,other,Other / manual review,fallback
Bed rest,Bed rest,other,Other / manual review,fallback
Hungry bone syndrome,Hungry bone syndrome,musculoskeletal,Musculoskeletal,rule
Cardiac valve replacement complication,Cardiac valve replacement complication,cardiovascular,Cardiovascular,rule
Premenstrual pain,Premenstrual pain,reproductive,Reproductive and breast,rule
Pulmonary artery therapeutic procedure,Pulmonary artery therapeutic procedure,respiratory,Respiratory,rule
Intracardiac pressure increased,Intracardiac pressure increased,laboratory,Laboratory and investigation,rule
Entropion,Entropion,other,Other / manual review,fallback
Biopsy site unspecified abnormal,Biopsy site unspecified abnormal,laboratory,Laboratory and investigation,rule
Extrapulmonary tuberculosis,Extrapulmonary tuberculosis,infection,Infections,rule
Drug metabolising enzyme decreased,Drug metabolising enzyme decreased,laboratory,Laboratory and investigation,rule
Mammogram,Mammogram,other,Other / manual review,fallback
Pelvic pouch procedure,Pelvic pouch procedure,procedure,Procedures and interventions,rule
Inner ear inflammation,Inner ear inflammation,other,Other / manual review,fallback
Application site alopecia,Application site alopecia,device,Device and procedure-related,rule
Central nervous system haemorrhage,Central nervous system haemorrhage,haematology,Blood and lymphatic,rule
Activated partial thromboplastin time abnormal,Activated partial thromboplastin time abnormal,laboratory,Laboratory and investigation,rule
Oral dysaesthesia,Oral dysaesthesia,other,Other / manual review,fallback
Oropharyngeal cancer,Oropharyngeal cancer,neoplasm,Neoplasms,rule
Atrophic glossitis,Atrophic glossitis,other,Other / manual review,fallback
Blood folate abnormal,Blood folate abnormal,laboratory,Laboratory and investigation,rule
Product friable,Product friable,other,Other / manual review,fallback
Bacterial food poisoning,Bacterial food poisoning,infection,Infections,rule
Vascular access site thrombosis,Vascular access site thrombosis,device,Device and procedure-related,rule
Henoch-Schonlein purpura nephritis,Henoch-Schonlein purpura nephritis,renal_urinary,Renal and urinary,rule
Malacoplakia,Malacoplakia,other,Other / manual review,fallback
Paranasal sinus haemorrhage,Paranasal sinus haemorrhage,respiratory,Respiratory,rule
Bacteroides test positive,Bacteroides test positive,laboratory,Laboratory and investigation,rule
Application site necrosis,Application site necrosis,device,Device and procedure-related,rule
Haemorrhagic vasculitis,Haemorrhagic vasculitis,immune_inflammatory,Immune and inflammatory,rule
Snake bite,Snake bite,other,Other / manual review,fallback
Spinal cord infarction,Spinal cord infarction,musculoskeletal,Musculoskeletal,rule
Bladder sphincter atony,Bladder sphincter atony,renal_urinary,Renal and urinary,rule
Wrong product procured,Wrong product procured,medication_error,Medication errors and use issues,rule
Genital disorder,Genital disorder,other,Other / manual review,fallback
Abscess soft tissue,Abscess soft tissue,other,Other / manual review,fallback
Retinal aneurysm,Retinal aneurysm,ocular,Eye and vision,rule
Enzyme level abnormal,Enzyme level abnormal,laboratory,Laboratory and investigation,rule
Mean arterial pressure decreased,Mean arterial pressure decreased,laboratory,Laboratory and investigation,rule
Laevocardia,Laevocardia,other,Other / manual review,fallback
Paranasal sinus mucosal hypertrophy,Paranasal sinus mucosal hypertrophy,respiratory,Respiratory,rule
Xeroderma,Xeroderma,other,Other / manual review,fallback
Meningoradiculitis,Meningoradiculitis,neurological,Nervous system and neurological,rule
Kidney contusion,Kidney contusion,renal_urinary,Renal and urinary,rule
Gingival graft,Gingival graft,other,Other / manual review,fallback
Biliary cyst,Biliary cyst,gastrointestinal,Gastrointestinal,rule
Disruptive mood dysregulation disorder,Disruptive mood dysregulation disorder,psychiatric,Psychiatric and behavioural,rule
Appendiceal abscess,Appendiceal abscess,other,Other / manual review,fallback
Amniotic band syndrome,Amniotic band syndrome,other,Other / manual review,fallback
Trisomy 8,Trisomy 8,other,Other / manual review,fallback
Allogenic stem cell transplantation,Allogenic stem cell transplantation,procedure,Procedures and interventions,rule
Congenital skin disorder,Congenital skin disorder,dermatological,Skin and subcutaneous tissue,rule
Postprandial hypoglycaemia,Postprandial hypoglycaemia,endocrine,Endocrine and metabolic,rule
Oral allergy syndrome,Oral allergy syndrome,immune_inflammatory,Immune and inflammatory,rule
Vena cava embolism,Vena cava embolism,cardiovascular,Cardiovascular,rule
Palatal swelling,Palatal swelling,general,General symptoms,rule
Renal cell carcinoma stage I,Renal cell carcinoma stage I,neoplasm,Neoplasms,rule
Overgrowth fungal,Overgrowth fungal,infection,Infections,rule
Anastomotic fistula,Anastomotic fistula,other,Other / manual review,fallback
Musculoskeletal cancer,Musculoskeletal cancer,neoplasm,Neoplasms,rule
Arteritis infective,Arteritis infective,infection,Infections,rule
Trigeminal neuritis,Trigeminal neuritis,other,Other / manual review,fallback
Choroiditis,Choroiditis,other,Other / manual review,fallback
Semen viscosity decreased,Semen viscosity decreased,laboratory,Laboratory and investigation,rule
Anaplastic large cell lymphoma T- and null-cell types,Anaplastic large cell lymphoma T- and null-cell types,neoplasm,Neoplasms,rule
Vaginal flatulence,Vaginal flatulence,reproductive,Reproductive and breast,rule
Vaginal dysplasia,Vaginal dysplasia,reproductive,Reproductive and breast,rule
Implant site urticaria,Implant site urticaria,device,Device and procedure-related,rule
Cytomegalovirus hepatitis,Cytomegalovirus hepatitis,infection,Infections,rule
Intra-uterine contraceptive device removal,Intra-uterine contraceptive device removal,device,Device and procedure-related,rule
Progesterone receptor assay positive,Progesterone receptor assay positive,laboratory,Laboratory and investigation,rule
Subcorneal pustular dermatosis,Subcorneal pustular dermatosis,ocular,Eye and vision,rule
Congenital aortic stenosis,Congenital aortic stenosis,cardiovascular,Cardiovascular,rule
Gastroenterostomy,Gastroenterostomy,gastrointestinal,Gastrointestinal,rule
Pseudomonas peritonitis,Pseudomonas peritonitis,other,Other / manual review,fallback
Flight of ideas,Flight of ideas,other,Other / manual review,fallback
Ureteral stent insertion,Ureteral stent insertion,device,Device and procedure-related,rule
Paranoid personality disorder,Paranoid personality disorder,psychiatric,Psychiatric and behavioural,rule
Pharyngeal polyp,Pharyngeal polyp,neoplasm,Neoplasms,rule
Central nervous system mass,Central nervous system mass,other,Other / manual review,fallback
Device fastener issue,Device fastener issue,device,Device and procedure-related,rule
Pulmonary physical examination abnormal,Pulmonary physical examination abnormal,laboratory,Laboratory and investigation,rule
Viral titre decreased,Viral titre decreased,infection,Infections,rule
Cytomegalovirus gastrointestinal ulcer,Cytomegalovirus gastrointestinal ulcer,infection,Infections,rule
Mitral valve calcification,Mitral valve calcification,cardiovascular,Cardiovascular,rule
Treponema test positive,Treponema test positive,laboratory,Laboratory and investigation,rule
Hyposideraemia,Hyposideraemia,other,Other / manual review,fallback
Medical device site discharge,Medical device site discharge,device,Device and procedure-related,rule
Heterophoria,Heterophoria,other,Other / manual review,fallback
Congenital aortic valve incompetence,Congenital aortic valve incompetence,cardiovascular,Cardiovascular,rule
Nasopharyngeal cancer,Nasopharyngeal cancer,neoplasm,Neoplasms,rule
Ex-tobacco user,Ex-tobacco user,other,Other / manual review,fallback
Transferrin increased,Transferrin increased,laboratory,Laboratory and investigation,rule
Lice infestation,Lice infestation,other,Other / manual review,fallback
Neurilemmoma benign,Neurilemmoma benign,other,Other / manual review,fallback
Senile osteoporosis,Senile osteoporosis,musculoskeletal,Musculoskeletal,rule
Suture removal,Suture removal,procedure,Procedures and interventions,rule
Electrocardiogram U wave present,Electrocardiogram U wave present,laboratory,Laboratory and investigation,rule
Phlebitis superficial,Phlebitis superficial,other,Other / manual review,fallback
Waldenstrom^s macroglobulinaemia recurrent,Waldenstrom's macroglobulinaemia recurrent,other,Other / manual review,fallback
Extensive swelling of vaccinated limb,Extensive swelling of vaccinated limb,general,General symptoms,rule
Purpura senile,Purpura senile,other,Other / manual review,fallback
Peak nasal inspiratory flow increased,Peak nasal inspiratory flow increased,laboratory,Laboratory and investigation,rule
Hyperphosphatasaemia,Hyperphosphatasaemia,other,Other / manual review,fallback
Meningitis noninfective,Meningitis noninfective,infection,Infections,rule
Bladder dysplasia,Bladder dysplasia,renal_urinary,Renal and urinary,rule
Parasite blood test positive,Parasite blood test positive,infection,Infections,rule
Hand repair operation,Hand repair operation,procedure,Procedures and interventions,rule
Byssinosis,Byssinosis,other,Other / manual review,fallback
Oesophagobronchial fistula,Oesophagobronchial fistula,respiratory,Respiratory,rule
Liver transplant failure,Liver transplant failure,gastrointestinal,Gastrointestinal,rule
Bladder neoplasm surgery,Bladder neoplasm surgery,neoplasm,Neoplasms,rule
Serology positive,Serology positive,laboratory,Laboratory and investigation,rule
Abdominal incarcerated hernia,Abdominal incarcerated hernia,gastrointestinal,Gastrointestinal,rule
Chromophobe renal cell carcinoma,Chromophobe renal cell carcinoma,neoplasm,Neoplasms,rule
Congenital eye disorder,Congenital eye disorder,ocular,Eye and vision,rule
Bronchial oedema,Bronchial oedema,respiratory,Respiratory,rule
Ideas of reference,Ideas of reference,other,Other / manual review,fallback
Instillation site erythema,Instillation site erythema,dermatological,Skin and subcutaneous tissue,rule
Monoclonal B-cell lymphocytosis,Monoclonal B-cell lymphocytosis,other,Other / manual review,fallback
Lung hypoinflation,Lung hypoinflation,respiratory,Respiratory,rule
Breast necrosis,Breast necrosis,reproductive,Reproductive and breast,rule
Surgical procedure repeated,Surgical procedure repeated,procedure,Procedures and interventions,rule
Bulbar palsy,Bulbar palsy,other,Other / manual review,fallback
Acute myelomonocytic leukaemia,Acute myelomonocytic leukaemia,neoplasm,Neoplasms,rule
Parkinsonian crisis,Parkinsonian crisis,other,Other / manual review,fallback
Cardiac valve fibroelastoma,Cardiac valve fibroelastoma,cardiovascular,Cardiovascular,rule
Squamous cell carcinoma of pharynx,Squamous cell carcinoma of pharynx,neoplasm,Neoplasms,rule
Periorbital abscess,Periorbital abscess,other,Other / manual review,fallback
Congenital megaureter,Congenital megaureter,renal_urinary,Renal and urinary,rule
Exposure via inhalation,Exposure via inhalation,injury,Injury and poisoning,rule
Femoral pulse decreased,Femoral pulse decreased,laboratory,Laboratory and investigation,rule
Laryngeal ulceration,Laryngeal ulceration,respiratory,Respiratory,rule
Edentulous,Edentulous,other,Other / manual review,fallback
Urinary cystectomy,Urinary cystectomy,renal_urinary,Renal and urinary,rule
Pathological doubt,Pathological doubt,other,Other / manual review,fallback
High arched palate,High arched palate,other,Other / manual review,fallback
Fat embolism,Fat embolism,cardiovascular,Cardiovascular,rule
Urethral caruncle,Urethral caruncle,renal_urinary,Renal and urinary,rule
Breech delivery,Breech delivery,gastrointestinal,Gastrointestinal,rule
Visceral oedema,Visceral oedema,dermatological,Skin and subcutaneous tissue,rule
Malignant connective tissue neoplasm,Malignant connective tissue neoplasm,neoplasm,Neoplasms,rule
Adams-Stokes syndrome,Adams-Stokes syndrome,other,Other / manual review,fallback
Selective mutism,Selective mutism,other,Other / manual review,fallback
Blood viscosity abnormal,Blood viscosity abnormal,laboratory,Laboratory and investigation,rule
Carcinoid tumour of the prostate,Carcinoid tumour of the prostate,neoplasm,Neoplasms,rule
Hyperhomocysteinaemia,Hyperhomocysteinaemia,other,Other / manual review,fallback
Performance enhancing product use,Performance enhancing product use,other,Other / manual review,fallback
Magnetic resonance imaging thoracic abnormal,Magnetic resonance imaging thoracic abnormal,laboratory,Laboratory and investigation,rule
Cerebrospinal fluid retention,Cerebrospinal fluid retention,musculoskeletal,Musculoskeletal,rule
Unevaluable therapy,Unevaluable therapy,procedure,Procedures and interventions,rule
C-telopeptide increased,C-telopeptide increased,laboratory,Laboratory and investigation,rule
Haemophilus test positive,Haemophilus test positive,laboratory,Laboratory and investigation,rule
Plastic surgery,Plastic surgery,procedure,Procedures and interventions,rule
Erythrosis,Erythrosis,other,Other / manual review,fallback
Reticulocyte count abnormal,Reticulocyte count abnormal,laboratory,Laboratory and investigation,rule
Retroperitoneal neoplasm,Retroperitoneal neoplasm,neoplasm,Neoplasms,rule
Primary adrenal insufficiency,Primary adrenal insufficiency,renal_urinary,Renal and urinary,rule
Eyelid scar,Eyelid scar,ocular,Eye and vision,rule
Endobronchial valve implantation,Endobronchial valve implantation,cardiovascular,Cardiovascular,rule
Missing dose response relationship,Missing dose response relationship,medication_error,Medication errors and use issues,rule
Lens extraction,Lens extraction,other,Other / manual review,fallback
Pleomorphic malignant fibrous histiocytoma,Pleomorphic malignant fibrous histiocytoma,other,Other / manual review,fallback
Pneumonia proteus,Pneumonia proteus,infection,Infections,rule
Adjustment disorder with disturbance of conduct,Adjustment disorder with disturbance of conduct,other,Other / manual review,fallback
Colorectal cancer stage IV,Colorectal cancer stage IV,neoplasm,Neoplasms,rule
Scleral cyst,Scleral cyst,other,Other / manual review,fallback
Implant site induration,Implant site induration,device,Device and procedure-related,rule
Vulval haemorrhage,Vulval haemorrhage,haematology,Blood and lymphatic,rule
Neuromyelitis optica pseudo relapse,Neuromyelitis optica pseudo relapse,ocular,Eye and vision,rule
Cold agglutinins,Cold agglutinins,other,Other / manual review,fallback
Aeromonas test positive,Aeromonas test positive,laboratory,Laboratory and investigation,rule
Rectal obstruction,Rectal obstruction,gastrointestinal,Gastrointestinal,rule
Retinal perivascular sheathing,Retinal perivascular sheathing,cardiovascular,Cardiovascular,rule
Benign familial pemphigus,Benign familial pemphigus,other,Other / manual review,fallback
Catecholamine crisis,Catecholamine crisis,other,Other / manual review,fallback
Stoma site rash,Stoma site rash,device,Device and procedure-related,rule
Cryotherapy,Cryotherapy,procedure,Procedures and interventions,rule
Ureteric calculus removal,Ureteric calculus removal,renal_urinary,Renal and urinary,rule
Calcanectomy,Calcanectomy,other,Other / manual review,fallback
Haemodialysis-induced symptom,Haemodialysis-induced symptom,other,Other / manual review,fallback
Pulmonary valve thickening,Pulmonary valve thickening,cardiovascular,Cardiovascular,rule
Floating patella,Floating patella,other,Other / manual review,fallback
Benign fallopian tube neoplasm,Benign fallopian tube neoplasm,neoplasm,Neoplasms,rule
Radiotherapy to lymph nodes,Radiotherapy to lymph nodes,procedure,Procedures and interventions,rule
Muscle tension dysphonia,Muscle tension dysphonia,musculoskeletal,Musculoskeletal,rule
Inspiratory capacity abnormal,Inspiratory capacity abnormal,laboratory,Laboratory and investigation,rule
Paraganglion neoplasm malignant,Paraganglion neoplasm malignant,neoplasm,Neoplasms,rule
Hepatitis B surface antibody negative,Hepatitis B surface antibody negative,infection,Infections,rule
Pericardial fibrosis,Pericardial fibrosis,cardiovascular,Cardiovascular,rule
Myocarditis post infection,Myocarditis post infection,infection,Infections,rule
Cardiac pacemaker evaluation,Cardiac pacemaker evaluation,cardiovascular,Cardiovascular,rule
Urinary fistula,Urinary fistula,renal_urinary,Renal and urinary,rule
Hepatitis B antibody,Hepatitis B antibody,infection,Infections,rule
Aortic bruit,Aortic bruit,cardiovascular,Cardiovascular,rule
Prothrombin consumption time prolonged,Prothrombin consumption time prolonged,other,Other / manual review,fallback
Hernia obstructive,Hernia obstructive,other,Other / manual review,fallback
Carbon monoxide diffusing capacity,Carbon monoxide diffusing capacity,other,Other / manual review,fallback
Cerebral arteritis,Cerebral arteritis,neurological,Nervous system and neurological,rule
Neonatal cholestasis,Neonatal cholestasis,pregnancy,Pregnancy and perinatal,rule
Antidiuretic hormone abnormality,Antidiuretic hormone abnormality,laboratory,Laboratory and investigation,rule
Refusal of treatment by relative,Refusal of treatment by relative,other,Other / manual review,fallback
Gaucher^s disease,Gaucher's disease,other,Other / manual review,fallback
Eye haemangioma,Eye haemangioma,ocular,Eye and vision,rule
Actinomycotic pulmonary infection,Actinomycotic pulmonary infection,infection,Infections,rule
Epstein-Barr virus antigen positive,Epstein-Barr virus antigen positive,infection,Infections,rule
Injection site dysaesthesia,Injection site dysaesthesia,device,Device and procedure-related,rule
Scan myocardial perfusion abnormal,Scan myocardial perfusion abnormal,laboratory,Laboratory and investigation,rule
Radical cystectomy,Radical cystectomy,other,Other / manual review,fallback
Heart alternation,Heart alternation,cardiovascular,Cardiovascular,rule
Left atrial volume abnormal,Left atrial volume abnormal,laboratory,Laboratory and investigation,rule
Eye opacity,Eye opacity,ocular,Eye and vision,rule
Abortion induced incomplete,Abortion induced incomplete,pregnancy,Pregnancy and perinatal,rule
Hepatic ischaemia,Hepatic ischaemia,gastrointestinal,Gastrointestinal,rule
Cardiac pseudoaneurysm,Cardiac pseudoaneurysm,cardiovascular,Cardiovascular,rule
Abdominal X-ray,Abdominal X-ray,laboratory,Laboratory and investigation,rule
Renal arteriosclerosis,Renal arteriosclerosis,renal_urinary,Renal and urinary,rule
CFTR gene mutation,CFTR gene mutation,laboratory,Laboratory and investigation,rule
Pseudomonal skin infection,Pseudomonal skin infection,infection,Infections,rule
Urological examination abnormal,Urological examination abnormal,laboratory,Laboratory and investigation,rule
Hair transplant,Hair transplant,procedure,Procedures and interventions,rule
Anaesthetic complication cardiac,Anaesthetic complication cardiac,cardiovascular,Cardiovascular,rule
Anti-transglutaminase antibody increased,Anti-transglutaminase antibody increased,laboratory,Laboratory and investigation,rule
Periorbital disorder,Periorbital disorder,other,Other / manual review,fallback
Bladder irrigation,Bladder irrigation,renal_urinary,Renal and urinary,rule
Vascular graft stenosis,Vascular graft stenosis,cardiovascular,Cardiovascular,rule
Nerve root injury,Nerve root injury,neurological,Nervous system and neurological,rule
Autoimmune lung disease,Autoimmune lung disease,respiratory,Respiratory,rule
Blood calcitonin decreased,Blood calcitonin decreased,laboratory,Laboratory and investigation,rule
Enteritis necroticans,Enteritis necroticans,other,Other / manual review,fallback
Pleomorphic adenoma,Pleomorphic adenoma,neoplasm,Neoplasms,rule
Congenital torticollis,Congenital torticollis,other,Other / manual review,fallback
Corneal flap complication,Corneal flap complication,ocular,Eye and vision,rule
Manganese increased,Manganese increased,laboratory,Laboratory and investigation,rule
Retained products of conception,Retained products of conception,other,Other / manual review,fallback
Radioulnar synostosis,Radioulnar synostosis,other,Other / manual review,fallback
Rectal fistula repair,Rectal fistula repair,gastrointestinal,Gastrointestinal,rule
Ventilation/perfusion scan abnormal,Ventilation/perfusion scan abnormal,laboratory,Laboratory and investigation,rule
Wound healing normal,Wound healing normal,injury,Injury and poisoning,rule
Apoptosis,Apoptosis,other,Other / manual review,fallback
Artificial urinary sphincter implant,Artificial urinary sphincter implant,renal_urinary,Renal and urinary,rule
Blood follicle stimulating hormone abnormal,Blood follicle stimulating hormone abnormal,laboratory,Laboratory and investigation,rule
Pancreatic fistula,Pancreatic fistula,gastrointestinal,Gastrointestinal,rule
Lisfranc fracture,Lisfranc fracture,musculoskeletal,Musculoskeletal,rule
Papillary serous endometrial carcinoma,Papillary serous endometrial carcinoma,neoplasm,Neoplasms,rule
Lip neoplasm,Lip neoplasm,neoplasm,Neoplasms,rule
Inadequate osteointegration,Inadequate osteointegration,other,Other / manual review,fallback
Vulvovaginal disorder,Vulvovaginal disorder,reproductive,Reproductive and breast,rule
Early infantile epileptic encephalopathy with burst-suppression,Early infantile epileptic encephalopathy with burst-suppression,neurological,Nervous system and neurological,rule
Parotid abscess,Parotid abscess,other,Other / manual review,fallback
Pituitary amenorrhoea,Pituitary amenorrhoea,other,Other / manual review,fallback
Urinary control neurostimulator implantation,Urinary control neurostimulator implantation,renal_urinary,Renal and urinary,rule
Burkholderia mallei infection,Burkholderia mallei infection,infection,Infections,rule
Onychogryphosis,Onychogryphosis,other,Other / manual review,fallback
Breast prosthesis user,Breast prosthesis user,device,Device and procedure-related,rule
Faecalith,Faecalith,other,Other / manual review,fallback
Treponema test false positive,Treponema test false positive,laboratory,Laboratory and investigation,rule
Culture wound positive,Culture wound positive,laboratory,Laboratory and investigation,rule
Low density lipoprotein,Low density lipoprotein,other,Other / manual review,fallback
Supportive care,Supportive care,other,Other / manual review,fallback
Breast capsulectomy,Breast capsulectomy,reproductive,Reproductive and breast,rule
Ambidexterity,Ambidexterity,other,Other / manual review,fallback
Neisseria test positive,Neisseria test positive,laboratory,Laboratory and investigation,rule
Aortic perforation,Aortic perforation,cardiovascular,Cardiovascular,rule
Gaucher^s disease type I,Gaucher's disease type I,other,Other / manual review,fallback
CSF culture,CSF culture,laboratory,Laboratory and investigation,rule
Joint irrigation,Joint irrigation,musculoskeletal,Musculoskeletal,rule
Vaginal perforation,Vaginal perforation,reproductive,Reproductive and breast,rule
Retinopexy,Retinopexy,other,Other / manual review,fallback
Anti-erythrocyte antibody positive,Anti-erythrocyte antibody positive,laboratory,Laboratory and investigation,rule
Citrobacter sepsis,Citrobacter sepsis,infection,Infections,rule
Septal panniculitis,Septal panniculitis,other,Other / manual review,fallback
Subclavian vein occlusion,Subclavian vein occlusion,other,Other / manual review,fallback
Orbital cyst,Orbital cyst,other,Other / manual review,fallback
Cataract cortical,Cataract cortical,other,Other / manual review,fallback
Ocular albinism,Ocular albinism,ocular,Eye and vision,rule
Arboviral infection,Arboviral infection,infection,Infections,rule
Bladder stenosis,Bladder stenosis,renal_urinary,Renal and urinary,rule
Tracheobronchial stent insertion,Tracheobronchial stent insertion,device,Device and procedure-related,rule
Venous pressure abnormal,Venous pressure abnormal,laboratory,Laboratory and investigation,rule
CD30 expression,CD30 expression,other,Other / manual review,fallback
Spinal cord ischaemia,Spinal cord ischaemia,musculoskeletal,Musculoskeletal,rule
Metastases to reproductive organ,Metastases to reproductive organ,neoplasm,Neoplasms,rule
Acinar cell carcinoma of pancreas,Acinar cell carcinoma of pancreas,neoplasm,Neoplasms,rule
Cardio-respiratory arrest neonatal,Cardio-respiratory arrest neonatal,pregnancy,Pregnancy and perinatal,rule
Platelet aggregation abnormal,Platelet aggregation abnormal,laboratory,Laboratory and investigation,rule
Ultrasound thyroid abnormal,Ultrasound thyroid abnormal,laboratory,Laboratory and investigation,rule
Activated protein C resistance,Activated protein C resistance,other,Other / manual review,fallback
Cardiac complication associated with device,Cardiac complication associated with device,device,Device and procedure-related,rule
Scleroderma associated digital ulcer,Scleroderma associated digital ulcer,gastrointestinal,Gastrointestinal,rule
Facetectomy,Facetectomy,other,Other / manual review,fallback
Single photon emission computerised tomogram abnormal,Single photon emission computerised tomogram abnormal,laboratory,Laboratory and investigation,rule
Retinal anomaly congenital,Retinal anomaly congenital,ocular,Eye and vision,rule
Vaginitis gardnerella,Vaginitis gardnerella,other,Other / manual review,fallback
Lung carcinoma cell type unspecified stage 0,Lung carcinoma cell type unspecified stage 0,neoplasm,Neoplasms,rule
CYP2D6 polymorphism,CYP2D6 polymorphism,other,Other / manual review,fallback
Venous operation,Venous operation,cardiovascular,Cardiovascular,rule
Infusion site pustule,Infusion site pustule,device,Device and procedure-related,rule
Aortic embolus,Aortic embolus,cardiovascular,Cardiovascular,rule
Genital labial adhesions,Genital labial adhesions,other,Other / manual review,fallback
Splenorenal shunt,Splenorenal shunt,renal_urinary,Renal and urinary,rule
Defect conduction intraventricular,Defect conduction intraventricular,cardiovascular,Cardiovascular,rule
Hypothyroidic goitre,Hypothyroidic goitre,endocrine,Endocrine and metabolic,rule
Alcoholic seizure,Alcoholic seizure,neurological,Nervous system and neurological,rule
Coagulation factor IX level decreased,Coagulation factor IX level decreased,laboratory,Laboratory and investigation,rule
Ectopic pregnancy termination,Ectopic pregnancy termination,pregnancy,Pregnancy and perinatal,rule
Medical device site irritation,Medical device site irritation,device,Device and procedure-related,rule
Primary immunodeficiency syndrome,Primary immunodeficiency syndrome,immune_inflammatory,Immune and inflammatory,rule
Injury to brachial plexus due to birth trauma,Injury to brachial plexus due to birth trauma,pregnancy,Pregnancy and perinatal,rule
Hyperuricosuria,Hyperuricosuria,other,Other / manual review,fallback
Neurosyphilis,Neurosyphilis,other,Other / manual review,fallback
Nitrite urine absent,Nitrite urine absent,laboratory,Laboratory and investigation,rule
Neonatal lupus erythematosus,Neonatal lupus erythematosus,pregnancy,Pregnancy and perinatal,rule
Ovarian adhesion,Ovarian adhesion,reproductive,Reproductive and breast,rule
Parathyroid gland operation,Parathyroid gland operation,procedure,Procedures and interventions,rule
Streptococcal abscess,Streptococcal abscess,other,Other / manual review,fallback
Inhibiting antibodies,Inhibiting antibodies,other,Other / manual review,fallback
Discordant twin,Discordant twin,other,Other / manual review,fallback
Postpartum disorder,Postpartum disorder,other,Other / manual review,fallback
Peak expiratory flow rate increased,Peak expiratory flow rate increased,laboratory,Laboratory and investigation,rule
Asteatosis,Asteatosis,other,Other / manual review,fallback
Glomerular filtration rate,Glomerular filtration rate,other,Other / manual review,fallback
Impaired ability to use machinery,Impaired ability to use machinery,other,Other / manual review,fallback
Gastrointestinal anastomotic complication,Gastrointestinal anastomotic complication,laboratory,Laboratory and investigation,rule
Catheter site urticaria,Catheter site urticaria,device,Device and procedure-related,rule
Ethmoid sinus surgery,Ethmoid sinus surgery,respiratory,Respiratory,rule
Infusion site haematoma,Infusion site haematoma,device,Device and procedure-related,rule
Mucosal necrosis,Mucosal necrosis,other,Other / manual review,fallback
Scapholunate dissociation,Scapholunate dissociation,other,Other / manual review,fallback
Sleep study abnormal,Sleep study abnormal,laboratory,Laboratory and investigation,rule
Stiff person syndrome,Stiff person syndrome,other,Other / manual review,fallback
Full blood count normal,Full blood count normal,laboratory,Laboratory and investigation,rule
Pleural neoplasm,Pleural neoplasm,neoplasm,Neoplasms,rule
Hepatic vein dilatation,Hepatic vein dilatation,gastrointestinal,Gastrointestinal,rule
Lymph node abscess,Lymph node abscess,other,Other / manual review,fallback
Plasma cell disorder,Plasma cell disorder,laboratory,Laboratory and investigation,rule
Medium-chain acyl-coenzyme A dehydrogenase deficiency,Medium-chain acyl-coenzyme A dehydrogenase deficiency,other,Other / manual review,fallback
Transtubular potassium gradient,Transtubular potassium gradient,other,Other / manual review,fallback
Minimum inhibitory concentration increased,Minimum inhibitory concentration increased,laboratory,Laboratory and investigation,rule
Hepatic vein stenosis,Hepatic vein stenosis,gastrointestinal,Gastrointestinal,rule
Vascular access site inflammation,Vascular access site inflammation,device,Device and procedure-related,rule
Animal attack,Animal attack,other,Other / manual review,fallback
Enterorrhaphy,Enterorrhaphy,other,Other / manual review,fallback
Radiotherapy to prostate,Radiotherapy to prostate,reproductive,Reproductive and breast,rule
Susac^s syndrome,Susac's syndrome,other,Other / manual review,fallback
Cold exposure injury,Cold exposure injury,injury,Injury and poisoning,rule
Malignant dysphagia,Malignant dysphagia,other,Other / manual review,fallback
Semen viscosity abnormal,Semen viscosity abnormal,laboratory,Laboratory and investigation,rule
Optic nerve operation,Optic nerve operation,neurological,Nervous system and neurological,rule
Pancreatogenous diabetes,Pancreatogenous diabetes,gastrointestinal,Gastrointestinal,rule
Automatism epileptic,Automatism epileptic,other,Other / manual review,fallback
Autoimmune eye disorder,Autoimmune eye disorder,ocular,Eye and vision,rule
Portal vein reconstruction,Portal vein reconstruction,other,Other / manual review,fallback
Uterine adhesions,Uterine adhesions,reproductive,Reproductive and breast,rule
Neurological complication associated with device,Neurological complication associated with device,device,Device and procedure-related,rule
Brachycephaly,Brachycephaly,other,Other / manual review,fallback
